conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1012786614299496448,Fri Jun 29 19:55:20 +0000 2018,1,#Dare2BDif July 1 2018 7:00pm https://t.co/Ax6bWdVC2n Dance Party @AURA w/Hahn behind the Bar! (Aura Light &amp; Sound Suite 1900 Hempstead Tpke E. Meadow NY 11554) #ENRGYZRBunny #WLIR #WDRE https://t.co/d0cxCO0N3W,1012786614299496448,,,en,New York,0,0,0,https://x.com/ijolaf/status/1012786614299496448,43117864,ijolaf
1012820712648790016,Fri Jun 29 22:10:49 +0000 2018,5,This random girl last night told me I have awesome energy &amp; have an orange aura &amp; tbh it made my week,1012820712648790016,,,en,Probablywithmydog,0,0,0,https://x.com/peyway6/status/1012820712648790016,401596917,peyway6
1012803850426896385,Fri Jun 29 21:03:49 +0000 2018,0,She luv my aura,1012803850426896385,,,en,"Charlotte, NC",0,0,1,https://x.com/nevaseenahghost/status/1012803850426896385,2312358595,nevaseenahghost
1012744233214595072,Fri Jun 29 17:06:55 +0000 2018,2,Check out one of our latest exterior painting projects! Brick wall painted in Westcott Navy 1624 in Aura Exterior Matte finish. Partition Railing &amp; Window was custom matched White in Aura Exterior Satin finish by Benjamin Moore. https://t.co/vfUkOcqUss,1012744233214595072,https://pbs.twimg.com/media/Dg39e6WW4AAJ5Ul.jpg,,en,Toronto,0,0,1,https://x.com/newimagedecor/status/1012744233214595072,432872582,newimagedecor
1012834034727182336,Fri Jun 29 23:03:46 +0000 2018,0,The Lost Abbey s Ghost in the Forest is an amazing oak aged American Wild Ale with a pretty amazing back story. . Per the brewers there s an aura of mystery that comes when we close the doors to our barrel room. No one can say for sure what happens eac https://t.co/2UVtnLfjyM https://t.co/JjveCeLU8v,1012834034727182336,https://pbs.twimg.com/media/Dg5PL_GW0AE2Tn1.jpg,,en,"Fort Worth, TX",0,0,0,https://x.com/FoodSportsBeer/status/1012834034727182336,723911097787408385,FoodSportsBeer
1012808296963694592,Fri Jun 29 21:21:29 +0000 2018,1,I love being complimented on my aura,1012808296963694592,,,en,,0,0,0,https://x.com/asluckwudhaveit/status/1012808296963694592,762902241841905664,asluckwudhaveit
1012804282826002433,Fri Jun 29 21:05:32 +0000 2018,1,We stan an Aura Queen. #BB20 #BBLF https://t.co/MzDBh8JjxK,1012804282826002433,,,en,,0,0,0,https://x.com/megatron_jones/status/1012804282826002433,260371704,megatron_jones
1012795309238386688,Fri Jun 29 20:29:53 +0000 2018,2,But ain t nothing like a Virgo . It s our aura ,1012795309238386688,,,en,,2,0,2,https://x.com/muvajayla/status/1012795309238386688,493437962,muvajayla
1012804509951823873,Fri Jun 29 21:06:26 +0000 2018,1,I'll let you read my aura Kaitlyn #BB20 https://t.co/AjLHudU7fx,1012804509951823873,,,en,,0,0,0,https://x.com/CheReal85/status/1012804509951823873,250784343,CheReal85
1012814176593510400,Fri Jun 29 21:44:51 +0000 2018,0,Aura Apartments in Phoenix Sell for $50.5 Million &gt;&gt; https://t.co/2ywTETG3KP via @REDailyNews,1012814176593510400,,,en,"Phoenix, Arizona",0,0,0,https://x.com/CushWakeAZ/status/1012814176593510400,158178541,CushWakeAZ
