conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1542232656242511874,Wed Jun 29 19:44:53 +0000 2022,214,new potions song out tomorrow!! Presave New Aura here: https://t.co/XJQSsz5Oze https://t.co/LkgpkZHvmY,1542232656242511874.1,https://pbs.twimg.com/ext_tw_video_thumb/1542232036978688005/pu/img/ysjBytJA732BxAkZ.jpg,Unnamed: 6,en,Unnamed: 8,3,12,37,https://x.com/potionsmusic/status/1542232656242511874,2909373841,potionsmusic
1.807196098458526e+18,Sat Jun 29 23:35:00 +0000 2024,3.0,$aura looks so ready,1.807196098458526e+18,,,en,,0.0,0.0,1.0,https://x.com/Primecandle/status/1807196098458525912,1.761160399146066e+18,Primecandle,,,,,,,,,,,,,,,
1.8071971039379948e+18,Sat Jun 29 23:39:00 +0000 2024,1.0,the new glow in the dark eyes for aura are so coool https://t.co/1M0JmlMKWa,1.8071971039379948e+18,https://pbs.twimg.com/media/GRR0J3PaUAAkQLe.jpg,,en,Lacie/Ava ,0.0,0.0,1.0,https://x.com/Famin3Puls3/status/1807197103937994838,1.1323874277363139e+18,Famin3Puls3,,,,,,,,,,,,,,,
1.807198086160401e+18,Sat Jun 29 23:42:54 +0000 2024,0.0,We had it all we had no Cody We finally got Cody buried after all this time. But his stupid fans want to see the business tank. We had Aura vs Aura Charisma vs Charisma Larger than life vs. Larger than life feel. Cody crybabies took it all away from us. They are cancers. https://t.co/cs2uQhalcJ,1.807198086160401e+18,https://pbs.twimg.com/tweet_video_thumb/GRR1E6ebkAA6dGT.jpg,,en,,0.0,1.0,0.0,https://x.com/AReveal56064/status/1807198086160400818,1.7421255662440612e+18,AReveal56064,,,,,,,,,,,,,,,
1.807197701517259e+18,Sat Jun 29 23:41:22 +0000 2024,1.0,Aura off the charts ‍‍↔️,1.807197701517259e+18,,,en,"St Cloud, FL",0.0,0.0,0.0,https://x.com/iambertus/status/1807197701517259070,367351865.0,iambertus,,,,,,,,,,,,,,,
1.8071843199217137e+18,Sat Jun 29 22:48:12 +0000 2024,4.0,One piece villains got the least aura in all anime ,1.8071843199217137e+18,,,en,Black Star Lair ,0.0,2.0,0.0,https://x.com/manhwatoon/status/1807184319921713640,1.6194450544766198e+18,manhwatoon,,,,,,,,,,,,,,,
1.8071995354937347e+18,Sat Jun 29 23:48:40 +0000 2024,39.0,Taemin was so overwhelming I was so overwhelmed that I felt like my mouth was open the whole time lol It was my first time seeing his performance but his aura and everything else was just amazing. His light was flashing but I guess it was self-illuminating.,1.8071995354937347e+18,,,en,,1.0,0.0,12.0,https://x.com/veraxxalso/status/1807199535493734617,1.53698520877525e+18,veraxxalso,,,,,,,,,,,,,,,
1.8071986275189722e+18,Sat Jun 29 23:45:03 +0000 2024,4.0,number 9 got zero aura outside of football man its crazy,1.8071986275189722e+18,,,en,Turkey 🇹🇷,1.0,0.0,0.0,https://x.com/junescashier/status/1807198627518972081,1.7462944175042683e+18,junescashier,,,,,,,,,,,,,,,
1.807200118824645e+18,Sat Jun 29 23:50:59 +0000 2024,4.0,Just saw my name in here $AURA we are made for each other @auracoinsolana ️,1.807200118824645e+18,,,en,,0.0,1.0,0.0,https://x.com/breathcomplex/status/1807200118824645077,1.7216269030716252e+18,breathcomplex,,,,,,,,,,,,,,,
1.8071903033479992e+18,Sat Jun 29 23:11:58 +0000 2024,12.0, AURA and it's literally just John Cena,1.8071903033479992e+18,,,en,pfp art by: @catwheezie,4.0,1.0,1.0,https://x.com/ethanswoon/status/1807190303347999161,1.4901171457952154e+18,ethanswoon,,,,,,,,,,,,,,,
1.8071864747117857e+18,Sat Jun 29 22:56:46 +0000 2024,1.0,Jeremy Allen White has aura.,1.8071864747117857e+18,,,en,,0.0,0.0,0.0,https://x.com/XenochronyBrain/status/1807186474711785729,1.4627989875310715e+18,XenochronyBrain,,,,,,,,,,,,,,,
1.8071892225181125e+18,Sat Jun 29 23:07:41 +0000 2024,0.0,Kawhi you traded a minimum 2 more rings for a nigga carried by aura and edits I hope you reap what you sow,1.8071892225181125e+18,,,en,OtherWorld,0.0,0.0,0.0,https://x.com/austin_bjax/status/1807189222518112534,7.005157401353871e+17,austin_bjax,,,,,,,,,,,,,,,
1.8071788533258898e+18,Sat Jun 29 22:26:29 +0000 2024,86.0,how many aura points did i lose when i wrote 'fatty' on my stomach in henna and then got rushed to hospital and the nurses lifted up my shirt infront of my entire family and bursted out laughing and put me on ed watch,1.8071788533258898e+18,,,en,༺ ass ༻,0.0,12.0,2.0,https://x.com/floeance/status/1807178853325889666,1.7528722404529766e+18,floeance,,,,,,,,,,,,,,,
